Knowledge Article: Question,Knowledge Article: URL Name,Knowledge Article: Answer
Why am I receiving digital notifications instead of the hardcopy MediSave transaction statement to inform me of a deduction from my MediSave?,why-am-i-receiving-digital-notifications-instead-of-the-hardcopy-medisave-transaction-statement-to-inform-me-of-a-deduction-from-my-medisave,"As part of our commitment to protect members against fraudulent deductions and to reduce environmental footprint, we have transitioned to digital notifications to inform you of your MediSave deduction for medical expenses. You will receive notifications via one of the following modes:   a. If your email address is registered with CPF Board, you will receive an email notification; b. If you do not have an email address registered, but have a mobile number registered, you will receive an SMS notification.   If you have installed the CPF Mobile App and enabled push notifications, you will receive push notification alerts on your mobile phone as an additional notification.   These digital notifications will ensure that you are informed of any deductions made from your MediSave in a timely manner. If you wish to update your contact details, you may do so via the Account settings page on CPF website, after logging in with your Singpass."
What happens if my employer or insurer is paying part of my hospital expenses?,what-happens-if-my-employer-or-insurer-is-paying-part-of-my-hospital-expenses,"If you have given the hospital a Letter of Guarantee or Hospitalisation Identity Card at admission, the hospital will send the bill to your employer or insurer. Your employer or insurer will then work out the part of the bill to be paid by you. They will then ask you to sign a Medical Claims Authorisation Form (MCAF) if you wish to pay the amount from your MediSave Account (MA). When your employer or insurer returns the MCAF to the hospital, the hospital will arrange to deduct the amount from your MA. Some hospitals may request that you sign the MCAF at admission especially if your employer or insurer is paying only part of your hospital expenses."
Can I use MediSave to pay for my dental implant?,can-i-use-medisave-to-pay-for-my-dental-implant,"You can use MediSave to pay for your dental implant insertion or removal as long as it is a surgical procedure.   For a dental surgery with insertion or removal of dental implants, you can use MediSave to pay for your dental implants, up to the following limits:   Insertion of Dental Implants Number of implant(s) inserted x $950 Operation limit of Table 2C Removal of Dental Implants Number of implant(s) removed x $450 Operation limit of Table 1C   For example, if you have to insert two dental implants, you can use up to $1,900 (2 x $950) for payment of your dental implants."
I do not have enough MediSave to pay for my hospitalisation expenses. Are there other ways to pay for it?,i-do-not-have-enough-medisave-to-pay-for-my-hospitalisation-expenses-are-there-other-ways-to-pay-for-it,"If you do not have sufficient MediSave for your hospitalisation expenses, you may consider tapping on one or more of your approved dependants' MediSave. Approved dependants refer to your spouse, children, parents, grandchildren and siblings. You must be a Singapore Citizen or Permanent Resident if you wish to tap on your grandchildren or sibling's MediSave.   It is important to note that while you can tap on your approved dependants' MediSave, the amount you can use is still subject to the MediSave withdrawal limits, which is applied on a per hospitalisation episode basis. If you still have outstanding hospitalisation expenses after using up to the MediSave withdrawal limit, you would have to pay the remainder in cash.   Alternatively, you or your approved dependants may use future MediSave contributions to pay for the outstanding hospitalisation bill if: The payer's MediSave Account is active (MediSave contributions received within the past three months); and The patient stayed in a B2 or C ward in a public hospital You must apply to the hospital on the day of or before you are discharged. This is not allowed for outpatient treatments.   For more information, please speak to the staff at the hospital's Business Office.   You should use your MediSave prudently to provide for your own and your approved dependant's hospitalisation needs. This is because you may require more medical care in your old age."
I intend to use my approved dependant's MediSave for my hospitalisation expenses. Do I need to produce any proof of my relationship with my approved dependant?,i-intend-to-use-my-approved-dependant-s-medisave-for-my-hospitalisation-expenses-do-i-need-to-produce-any-proof-of-my-relationship-with-my-approved-dependant,"You will not be required to produce documentary proof of your relationship with an approved dependant at the point of admission. However, your approved dependant will need to complete a Medical Claims Authorisation Form to use his/her MediSave for your hospitalisation expenses, where he/she will be asked to declare his/her relationship with you.   You and your approved dependant may subsequently be asked to submit documentary proof of your relationship as part of an audit. Please note that legal action may be taken against any member who makes a false declaration."
Can I withdraw my MediSave in cash?,can-i-withdraw-my-medisave-in-cash,"MediSave is primarily designed to help Singaporeans save up during their working years for their healthcare needs in old age. Generally, MediSave cannot be withdrawn in cash and are instead paid directly to MediSave-accredited medical institutions for approved medical treatments.   However, under MediSave Care, severely disabled Singaporeans aged 30 and above may withdraw up to $200 per month in cash from their own and/or their spouse’s MediSave account(s). This is because long-term care needs vary significantly across such individuals, and cash withdrawals will provide patients and their caregivers the flexibility to decide on their desired care arrangements and long-term care services. You may refer to AIC’s website and our FAQs for more details on MediSave Care.   The Ministry of Health (MOH) will continue to review their financing policies to ensure that care remains affordable for our citizens, while MediSave balances are not depleted prematurely."
Why am I receiving this notification from CPF Board? Is it legitimate?,why-am-i-receiving-this-notification-from-cpf-board-is-it-legitimate,"This notification service notifies members that their monthly CPF transaction statement is ready for viewing. Notifications will only be sent to the email address that you have registered with the Board. You may  check or update your email address with your Singpass. To verify whether the notification is legitimate, check that the sender’s email address ends with @e.cpf.gov.sg. If you have downloaded the latest version of the CPF Mobile app, you will be directed to the CPF Mobile app upon clicking the link. If you have not downloaded the latest version of the CPF Mobile app, or you are viewing your statement on a desktop or laptop, you will be directed to our official CPF website (link starting with cpf.gov.sg) on your web browser to view your statement. Find out how you can protect yourself from phishing links ."
How do I inform CPF Board of a change in my address?,how-do-i-inform-cpf-board-of-a-change-in-my-address,"By default, CPF letters are sent to your residential address on your Singapore Identity Card. If you are residing at a new address and have been receiving your CPF letters at your old residential address, please apply for the change of your residential address (local or overseas) via Immigration & Checkpoints Authority’s (ICA) e-Services using your Singpass. Participating government agencies and statutory boards (including CPF Board) will be informed of the change in address through the One-Stop Change of Address Reporting Service (OSCARS) within one day. You will not be receiving an additional acknowledgement from CPF Board for updates via OSCARS. Please visit ICA website for more information."
What are the Government cash grants included in the Year-in-Review?,what-are-the-government-cash-grants-included-in-the-year-in-review,Please refer to the table below for the participating schemes included in the Year-in-Review (YIR). The YIR shows a summary of the cash grants that you had received in the past 12 months before your birthday month through CPFB-administered Government schemes. You would have received separate notifications on your eligibility for the respective schemes.   Schemes Assurance Package and GST Voucher Lease Buyback Scheme Bonus Silver Housing Bonus Silver Support Training Commitment Award Workfare Income Supplement
What are the Government cash grants included in the Yearly Statement of Account?,what-are-the-government-cash-grants-included-in-the-yearly-statement-of-account,Please refer to the table below for the participating schemes included in the Yearly Statement of Account (YSOA). The YSOA shows a summary of the cash grants you received through CPFB-administered Government schemes in the previous year. You would have received separate notifications on your eligibility for the respective schemes.   Schemes Assurance Package and GST Voucher Lease Buyback Scheme Bonus Silver Housing Bonus Silver Support Training Commitment Award Workfare Income Supplement
What should I do if I receive mails from CPF Board that do not belong to me and my family member(s) at our address?,what-should-i-do-if-i-receive-mails-from-cpf-board-that-do-not-belong-to-me-and-my-family-member-s-at-our-address,"If you received mails from CPF Board that do not belong to you and your family member(s) at your address, please state the reason for return, e.g. 'no such person' or 'change of owner', and drop the mail into SingPost's ""Return Mail Here"" mailbox. The undelivered mail will be returned to us."
Can I use more than one of my approved dependants' MediSave for my hospitalisation expenses?,can-i-use-more-than-one-of-my-approved-dependants-medisave-for-my-hospitalisation-expenses,"You can tap on one or more of your approved dependants' MediSave for your hospitalisation expenses. Approved dependants refer to your spouse, children, parents, grandchildren and siblings. You must be a Singapore Citizen or Permanent Resident if you wish to tap on your grandchildren or sibling's MediSave.   While you can tap on your approved dependants' MediSave, the amount you can use is still subject to the MediSave withdrawal limits, which is applied on a per hospitalisation episode basis regardless of the number of payers. If you still have outstanding hospitalisation expenses after utilising up to the MediSave withdrawal limit, you would have to pay the remainder in cash."
Why are MediSave withdrawal limits imposed?,why-are-medisave-withdrawal-limits-imposed,"MediSave is a national medical savings account to help Singaporeans pay for their hospitalisation expenses, especially in old age. In line with this, MediSave withdrawal limits are set to strike a balance between helping Singaporeans afford the co-payment for their ongoing treatments, and ensuring that they have sufficient savings for their future healthcare needs."
What is the healthcare hotline?,what-is-the-healthcare-hotline,"For healthcare-related enquires, you may call us at 1800 222 3399* / 65 6222 3399 (overseas) from Mondays to Fridays, 8.30am to 5.30pm (GMT+8, excluding public holidays). Alternatively, you can also write to us.   * Airtime charges will apply for mobile calls to 1800 service lines. Calls are free of charge only if made from regular land lines."
"If I am hospitalised, how much MediSave can I use to pay for my hospitalisation expenses?",if-i-am-hospitalised-how-much-medisave-can-i-use-to-pay-for-my-hospitalisation-expenses,"For daily hospital charges 1 , you can use up to $550 per day from MediSave for the first two days of inpatient stays, and $400 per day thereafter.   If you had undergone a surgery, you can use your MediSave to cover part of, or the whole surgery cost. The amount of MediSave you can use depends on the complexity of your surgery, as listed in the Table of Surgical Procedures. You may refer to the  MOH website for more information on withdrawal limits for MediSave.   It is useful to note that you are considered hospitalised if you have been admitted for at least eight hours. This requirement does not apply to day surgeries.   1 Includes eligible Mobile Inpatient Care @ Home stays"
Can I use my MediSave for hearing aids?,can-i-use-my-medisave-for-hearing-aids,"MediSave cannot be used for the purchase of hearing aids. This is because MediSave is primarily designed to help Singaporeans offset costly hospitalisations, day surgeries and selected outpatient treatments.   However, you may apply for the Seniors’ Mobility and Enabling Fund (SMF) which provides subsidies to eligible seniors for a range of assistive devices, including hearing aids. You can call the Agency for Integrated Care (AIC) at 1800 650 6060* or visit  AIC website for more details.   * Airtime charges will apply for mobile calls to 1800 service lines. Calls are free of charge only if made from regular land lines."
Can I choose to receive the hardcopy MediSave transaction statement instead?,can-i-choose-to-receive-the-hardcopy-medisave-transaction-statement-instead,"Notification through hardcopy statements will result in a delay in informing you of deductions made from your MediSave account. It will also contribute to the usage of paper, which is not environmentally friendly.   We encourage members to join us in our efforts to go digital and reduce our environmental footprint, while enjoying the convenience of timely notifications."
"If I am 66 years old in 2024 and my applicable Basic Healthcare Sum (BHS) is $68,500. Am I allowed to maintain more than my applicable BHS in my MediSave Account?",if-i-am-66-years-old-in-2024-and-my-applicable-basic-healthcare-sum-bhs-is-68-500-am-i-allowed-to-maintain-more-than-my-applicable-bhs-in-my-medisave-account,You can only save up to your applicable Basic Healthcare Sum (BHS) in your MediSave Account (MA). The BHS is designed to be enough for your basic subsidised healthcare needs in old age and to avoid over-saving in the MA.
What types of hospital charges can be covered by my MediSave?,what-types-of-hospital-charges-can-be-covered-by-my-medisave,"You can use your MediSave for your hospitalisation, surgery, and rehabilitation charges.  "
"As a bankrupt, can I still use my MediSave?",as-a-bankrupt-can-i-still-use-my-medisave,"You may use your MediSave to pay for your own or your approved dependants' healthcare expenses even if you have declared bankruptcy. Approved dependants refer to your spouse, children, parents, grandparents and siblings. Please note that grandparents and siblings must be Singapore Citizens or Permanent Residents."
I visited a clinic for an outpatient treatment that can be paid by my MediSave. How do I go about utilising my MediSave?,i-visited-a-clinic-for-an-outpatient-treatment-that-can-be-paid-by-my-medisave-how-do-i-go-about-utilising-my-medisave,"To use your MediSave to pay for your outpatient medical treatment cost:   1. Inform the clinic that you wish to use MediSave to pay for your outpatient medical treatment. The staff will require your NRIC/Passport. If you are paying for your approved dependant, please also produce his/her NRIC/Passport. Approved dependants refer to your spouse, children, parents, grandparents and siblings. Please note that your grandparents and siblings must be Singapore Citizens or Permanent Residents.   2. The clinic may require information on how much MediSave is available for payment of the outpatient treatment. You will be able to obtain this information by logging in to your Healthcare dashboard under my cpf digital services with your Singpass. This is not needed if the clinic can check on your behalf.   3. You and the patient (if applicable) must sign a Medical Claims Authorisation Form to allow the clinic to use your MediSave to pay for the outpatient medical treatment bill.   4. If your employer or insurer is also paying for your outpatient treatment, please bring along your Letter of Guarantee or Employer Identity Pass (i.e. if your clinic has an existing arrangement with your employer or insurer)."
What outpatient treatments can be paid using MediSave and what are the withdrawal limits?,what-outpatient-treatments-can-be-paid-using-medisave-and-what-are-the-withdrawal-limits,Please refer to the MOH website for the list of outpatient treatments that can be paid using MediSave and their corresponding withdrawal limits.
Are there additional charges for using my MediSave to pay for my medical expenses?,are-there-additional-charges-for-using-my-medisave-to-pay-for-my-medical-expenses,CPF Board does not impose any administrative fee for using MediSave.
Can I use my MediSave for Traditional Chinese Medicine?,can-i-use-my-medisave-for-traditional-chinese-medicine,"If you are aged 60 and above, you may withdraw up to $300 per year from your own, or your spouse’s MediSave Account under the Flexi-MediSave scheme to pay for acupuncture treatment for lower back pain and neck pain at specialist outpatient clinics in public hospitals."
Can I use my MediSave to pay for my step/adopted children's hospitalisation expenses?,can-i-use-my-medisave-to-pay-for-my-step-adopted-children-s-hospitalisation-expenses,"If your step children are under your custody, they are considered your approved dependants, and you can use your MediSave for their hospitalisation expenses.   To use your MediSave for your adopted children, you need to submit legal documentary proof of your relationship to the hospital. If the legal process of adoption is still underway, you should submit the following documents to the hospital:   a. A lawyer's letter stating that the legal adoption is underway, and b. The birth certificate within one year of your child's date of birth."
"Can I use my MediSave to pay for the medical treatments received by dependants other than my approved dependants (spouse, children, parents, grandparents and siblings)?",can-i-use-my-medisave-to-pay-for-the-medical-treatments-received-by-dependants-other-than-my-approved-dependants-spouse-children-parents-grandparents-and-siblings,"MediSave is meant to help you save for your personal or approved dependant's healthcare expenses incurred in any of the participating medical institutions (MIs) under the MediSave Scheme.   You can apply to use your MediSave for a dependant who is not your approved dependant, if the dependant is receiving treatment in a public healthcare institution or voluntary welfare organisation in Singapore. Please approach the medical institution's Business Office for more details on the eligibility criteria and the application process. Such applications will be considered on a case-by-case basis."
I do not have enough MediSave to pay for my outpatient treatment expenses. How else can I pay for it?,i-do-not-have-enough-medisave-to-pay-for-my-outpatient-treatment-expenses-how-else-can-i-pay-for-it,"  If you do not have sufficient MediSave for your outpatient treatment expenses, you may consider tapping on one or more of your approved dependants' MediSave. Approved dependants refer to your spouse, children, parents, grandchildren and siblings. You must be a Singapore Citizen or Permanent Resident if you wish to tap on your grandchildren or sibling's MediSave.   You may claim up to $700 (for patients with complex chronic conditions) or $500 (for non-complex chronic patients) per patient per year, and each MediSave claim is subject to a 15% co-payment in cash.   While you can tap on your approved dependants' MediSave, the amount you can use is subject to the MediSave withdrawal limits, which is applied on a per patient basis regardless of the number of payers. If you still have outstanding medical expenses after utilising up to the MediSave withdrawal limit, you would have to pay the remainder in cash."
Can I use my MediSave to pay for non-surgical dental treatments?,can-i-use-my-medisave-to-pay-for-non-surgical-dental-treatments,"Dental treatments are generally not claimable under the MediSave scheme unless the treatment involves surgery and is performed due to medical reasons. Non-surgical dental treatments such as extractions, crowning, dentures or braces are not MediSave-claimable.   Please check with your dentist whether your dental treatments are claimable."
